idx;cycle;seconds;objectiveNormal;objectiveAccelerated;processorCount;blockSize
59;1;29,7446333;1239,445564498759;1239,445564498759;0;0
60;1;30,2471249;1239,4266196451167;1239,4266196451167;0;0
61;1;30,7378633;1239,4149965710585;1239,4149965710585;0;0
62;1;31,2281607;1239,4078262976557;1239,4078262976557;0;0
63;1;31,743127;1239,397952373125;1239,397952373125;0;0
64;1;32,2189082;1239,3905676662896;1239,3905676662896;0;0
65;1;32,7338673;1239,3786280146578;1239,3786280146578;0;0
66;1;33,2233389;1239,3675579754772;1239,3675579754772;0;0
67;1;33,7379875;1239,3626257069452;1239,3626257069452;0;0
68;1;34,2681962;1239,3541154857437;1239,3541154857437;0;0
69;1;34,775715500000004;1239,3472933983135;1239,3472933983135;0;0
70;1;35,2911667;1239,3411883307795;1239,3411883307795;0;0
71;1;35,7824206;1239,3304015867193;1239,3304015867193;0;0
72;1;36,2657511;1239,323620586659;1239,323620586659;0;0
73;1;36,733523500000004;1239,3197671753296;1239,3197671753296;0;0
74;1;37,2431691;1239,3041351439917;1239,3041351439917;0;0
75;1;37,7335795;1239,300002538591;1239,300002538591;0;0
76;1;38,223615699999996;1239,2877300520927;1239,2877300520927;0;0
77;1;38,7234554;1239,2776900421147;1239,2776900421147;0;0
78;1;39,209491299999996;1239,2728776789568;1239,2728776789568;0;0
79;1;39,7184958;1239,2656575593753;1239,2656575593753;0;0
80;1;40,2153798;1239,25521261634;1239,25521261634;0;0
81;1;40,703759399999996;1239,2406729373913;1239,2406729373913;0;0
82;1;41,1623617;1239,2354287849369;1239,2354287849369;0;0
83;1;41,6293864;1239,2267263237216;1239,2267263237216;0;0
84;1;42,137896;1239,2169147502532;1239,2169147502532;0;0
85;1;42,6426611;1239,2116581058094;1239,2116581058094;0;0
86;1;43,1255518;1239,2057355136274;1239,2057355136274;0;0
87;1;43,63071;1239,198271689893;1239,198271689893;0;0
88;1;44,1265435;1239,1870051529104;1239,1870051529104;0;0
89;1;44,5920975;1239,1818286719745;1239,1818286719745;0;0
90;1;45,07504;1239,1730016435724;1239,1730016435724;0;0
91;1;45,5431101;1239,1645913897157;1239,1645913897157;0;0
92;1;46,0336757;1239,1605624181507;1239,1605624181507;0;0
93;1;46,5417776;1239,150401539923;1239,150401539923;0;0
94;1;47,0545783;1239,1477846534879;1239,1477846534879;0;0
95;1;47,5450682;1239,1369004269393;1239,1369004269393;0;0
96;1;48,0359009;1239,1309635406715;1239,1309635406715;0;0
97;1;48,520755199999996;1239,1309481301662;1239,1309481301662;0;0
98;1;48,9657565;1239,1205405725386;1239,1205405725386;0;0
99;1;49,447195300000004;1239,113665919945;1239,113665919945;0;0
100;2;49,9122622;1239,2755125004128;1239,2755125004128;0;0
101;2;50,3233036;1239,2677063858162;1239,2677063858162;0;0
102;2;50,738297900000006;1239,2610664276704;1239,2610664276704;0;0
103;2;51,1484201;1239,2584140912188;1239,2584140912188;0;0
104;2;51,510322300000006;1239,251629977494;1239,251629977494;0;0
105;2;51,877123000000005;1239,2429740333682;1239,2429740333682;0;0
106;2;52,2429976;1239,2381254459826;1239,2381254459826;0;0
107;2;52,6140102;1239,2295743285765;1239,2295743285765;0;0
108;2;52,9570718;1239,216225614517;1239,216225614517;0;0
109;2;53,308514100000004;1239,2144646302895;1239,2144646302895;0;0
110;2;53,701997600000006;1239,201976500614;1239,201976500614;0;0
111;2;54,088274000000006;1239,193253818411;1239,193253818411;0;0
112;2;54,48261;1239,1916921575103;1239,1916921575103;0;0
113;2;54,8284017;1239,1868638700907;1239,1868638700907;0;0
114;2;55,1884086;1239,1818667734829;1239,1818667734829;0;0
115;2;55,571669;1239,1691918154656;1239,1691918154656;0;0
116;2;55,95846950000001;1239,159751059876;1239,159751059876;0;0
117;2;56,312994;1239,1579243994968;1239,1579243994968;0;0
118;2;56,673430100000004;1239,14541831327;1239,14541831327;0;0
