y;x;intensity
1778;1222;0,0007986906
1778;1223;0,00089296035
1778;1224;0,00096541276
1778;1225;0,0010416328
1778;1226;0,0011142419
1778;1227;0,0011598342
1778;1228;0,0011896838
1778;1229;0,0012292532
1778;1230;0,001245671
1778;1231;0,0012672949
1778;1232;0,0012778064
1778;1233;0,001295556
1778;1234;0,001295778
1778;1235;0,0012854689
1778;1236;0,0012757665
1778;1237;0,001252508
1778;1238;0,0012139907
1778;1239;0,0011606736
1778;1240;0,001114325
1778;1241;0,0010447496
1778;1242;0,0009681982
1778;1243;0,00086841267
1778;1244;0,00079190265
1778;1245;0,00069007016
1778;1246;0,00058486173
1778;1247;0,00046850002
1778;1248;0,0003432662
1778;1249;0,00019558948
1778;1250;5,042408E-05
1778;1251;0
1778;1252;0
1778;1253;0
1778;1254;0
1778;1255;0
1778;1256;0
1778;1257;0
1778;1258;0
1778;1259;0
1778;1260;0
1778;1261;0
1778;1262;0
1778;1263;0
1778;1264;0
1778;1265;0
1778;1266;0
1778;1267;0
1778;1268;0
1778;1269;0
1778;1270;0
1778;1271;0
1778;1272;0
1778;1273;0
1778;1274;0
1779;1180;0
1779;1181;0
1779;1182;0
1779;1183;0
1779;1184;0
1779;1185;0
1779;1186;0
1779;1187;0
1779;1188;0
1779;1189;0
1779;1190;0
1779;1191;0
1779;1192;0
1779;1193;0
1779;1194;0
1779;1195;0
1779;1196;0
1779;1197;0
1779;1198;0
1779;1199;0
1779;1200;0
1779;1201;0
1779;1202;0
1779;1203;0
1779;1204;0
1779;1205;0
1779;1206;0
1779;1207;0
1779;1208;0
1779;1209;0
1779;1210;0
1779;1211;0
1779;1212;0
1779;1213;0
1779;1214;0,00010156844
1779;1215;0,00022728599
1779;1216;0,0003356842
1779;1217;0,00044146104
1779;1218;0,00053520943
1779;1219;0,0006254362
1779;1220;0,0007416247
1779;1221;0,00083280256
1779;1222;0,0009198278
1779;1223;0,0010037094
1779;1224;0,0010845072
1779;1225;0,0011618576
1779;1226;0,0012254874
1779;1227;0,0012753884
1779;1228;0,0013156639
1779;1229;0,0013643913
1779;1230;0,0013764346
1779;1231;0,0013986859
1779;1232;0,0014162047
1779;1233;0,0014242093
1779;1234;0,0014262828
1779;1235;0,0014237723
1779;1236;0,0014081133
1779;1237;0,0013904604
1779;1238;0,001343996
1779;1239;0,0013085608
1779;1240;0,0012536969
1779;1241;0,0011890018
1779;1242;0,0011064501
1779;1243;0,0010215887
1779;1244;0,0009451476
1779;1245;0,00084888574
1779;1246;0,00074612047
1779;1247;0,0006291981
1779;1248;0,0004998754
1779;1249;0,0003619523
1779;1250;0,00021482653
1779;1251;5,150723E-05
1779;1252;0
1779;1253;0
1779;1254;0
1779;1255;0
1779;1256;0
1779;1257;0
1779;1258;0
1779;1259;0
1779;1260;0
1779;1261;0
1779;1262;0
1779;1263;0
1779;1264;0
1779;1265;0
1779;1266;0
1779;1267;0
1779;1268;0
1779;1269;0
1779;1270;0
1779;1271;0
1779;1272;0
1779;1273;0
1779;1274;0
1780;1180;0
1780;1181;0
1780;1182;0
1780;1183;0
1780;1184;0
1780;1185;0
1780;1186;0
1780;1187;0
1780;1188;0
1780;1189;0
1780;1190;0
1780;1191;0
1780;1192;0
1780;1193;0
1780;1194;0
1780;1195;0
1780;1196;0
1780;1197;0
1780;1198;0
1780;1199;0
1780;1200;0
1780;1201;0
1780;1202;0
1780;1203;0
1780;1204;0
1780;1205;0
1780;1206;0
1780;1207;0
1780;1208;0
1780;1209;0
1780;1210;0
1780;1211;0
1780;1212;0
1780;1213;8,850583E-05
1780;1214;0,00020632567
1780;1215;0,000330727
1780;1216;0,00045290982
1780;1217;0,00054401846
1780;1218;0,00065339304
1780;1219;0,00075294334
1780;1220;0,0008268461
1780;1221;0,00093142234
1780;1222;0,0010237595
1780;1223;0,001095311
1780;1224;0,0011992315
