u; v
-169,647821699353;286,002917008474
-244,98837055036;265,934776061215
-459,515860300871;348,062139089219
-577,76639369511;1036,67569236411
-356,442148261362;144,02965669008
-385,037135552902;-8,4815271566622
-387,318380066361;-118,397101379
-379,650938149178;-286,930417231284
-212,871980409836;-396,9537372794
-253,346721801001;-419,943132168613
27,0932471318665;-540,485031018034
287,80419602694;-490,381445799023
362,340510900412;-289,167150069494
631,051535182567;42,3955119028687
898,597483725414;770,767546033952
1834,70248373964;435,430404376239
1471,7739384842;1921,22254698724
578,787538138447;-346,467121035792
2811,70069512956;2853,78655279381
3608,10177046931;602,127721173689
2052,29938520271;-675,355089197867
850,361126414457;-598,991152961273
592,587892291849;-977,862055211794
-10,1749540077217;-1132,67369365785
-871,389992364147;-326,553541542962
-1200,19664489479;270,249976413324
-1596,15122750955;641,103729621042
-287,565635307441;3432,14528421219
-2799,68562786713;2863,30536487047
-3683,59879937106;936,845981812105
-3421,3974518386;-1662,93939020205
13,8302647457276;-2152,02624479262
1437,76772610339;-2334,37812370993
3417,77383476163;-1674,477557017
34,4381970909708;21,904309540987
91,471486478149;-28,8388154949062
69,8852734660759;-58,9925490985624
-14,0081950635067;-71,1565176770091
57,2033404656286;-178,572813665494
60,8627880828317;-310,866489402484
-64,7100373413741;-146,707801601384
-120,67766026621;-287,410744828172
-116,321606434809;-127,69665733818
-172,360839922458;-143,725942516234
-269,196365947002;-168,703958803788
-312,873003438865;-61,0025516282767
-242,732243595739;5,5018122671172
-320,191745670993;38,9055075543001
-231,500604518584;112,374891035259
-137,890042490424;-21,4181427322328
-202,984122385824;-60,6350606307387
-129,248065221091;-75,1885915915482
263,693385344457;-103,375863741152
290,380068283412;81,6244311882183
341,278410034789;224,221167669632
319,617093264322;373,794522070792
150,662508035308;449,617760533001
67,3645623914199;241,156971168239
-72,2378409187513;201,278060980607
19,3023855143401;137,087452334352
56,8392462780139;100,029540850315
-202,784005837508;338,544220097829
-278,124554688515;318,476079150569
-492,652044439026;400,603442178573
-610,902577833265;1089,21699545346
-389,578332399517;196,570959779434
-418,173319691057;44,059775932692
-420,454564204516;-65,8557982896455
-412,787122287333;-234,38911414193
-246,008164547991;-344,412434190046
-286,482905939156;-367,401829079259
-6,04293700628841;-487,943727928679
254,668011888785;-437,840142709669
329,204326762258;-236,62584698014
597,915351044412;94,9368149922229
865,461299587259;823,308849123307
1801,56629960149;487,971707465593
1438,63775434605;1973,76385007659
545,651354000292;-293,925817946438
2778,56451099141;2906,32785588317
3574,96558633116;654,669024263043
2019,16320106456;-622,813786108512
817,224942276302;-546,449849871919
559,451708153694;-925,320752122439
-43,3111381458766;-1080,1323905685
-904,526176502302;-274,012238453608
-1233,33282903294;322,791279502679
-1629,2874116477;693,645032710396
-320,701819445596;3484,68658730155
-2832,82181200529;2915,84666795982
-3716,73498350921;989,387284901459
-3454,53363597675;-1610,3980871127
-19,3059193924273;-2099,48494170327
1404,63154196523;-2281,83682062058
3384,63765062348;-1621,93625392765
57,0332893871782;-50,7431250358932
35,4470763751051;-80,8968586395495
-48,4463921544775;-93,0608272179961
22,7651433746578;-200,477123206481
26,4245909918609;-332,770798943471
-99,1482344323449;-168,612111142371
-155,115857357181;-309,315054369159
